      Node Label     U.Magnitude            U.U1            U.U2
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
             701         34.6224         34.5545         2.16698
             702         28.5851        -2.02637        -28.5132
             703         28.5851         2.02636         28.5132
             704         28.5557         28.4840        -2.02225
             705         28.5557        -28.4840         2.02227
             706         24.9336    -918.452E-03        -24.9166
             707         24.9335     918.448E-03         24.9166
             708         24.8462        -24.8295     910.466E-03
             709         24.8462         24.8295    -910.449E-03
             710         12.4344        -12.4097     784.094E-03
             711         12.3106    -809.267E-03         12.2839
             712         12.3106     809.290E-03        -12.2840
             713         12.4348         12.4100    -784.239E-03
             714         12.3065        -12.2800    -807.970E-03
             715         12.3067         12.2802     807.854E-03
             716         12.4412     782.747E-03         12.4165
             717         12.4414    -782.727E-03        -12.4167
             718         30.5169         1.55166        -30.4775
             719         30.5169        -1.55163         30.4774
             720         32.5411    -146.776E-03         32.5408
             721         32.5411     146.776E-03        -32.5408
             722         44.5839        -44.5831     256.395E-03
             723         44.5839         44.5831    -256.392E-03
             724         24.9072         24.9056     276.871E-03
             725         24.9074        -24.9058    -276.884E-03
             726         19.8636        -19.8487    -771.174E-03
             727         19.9076     772.141E-03        -19.8927
             728         19.9069    -771.962E-03         19.8919
             729         19.8646         19.8496     771.366E-03
             730         31.8403         31.8381     376.551E-03
             731         31.8403        -31.8381    -376.552E-03
             732         30.7708     755.298E-03         30.7615
             733         30.5139        -30.5050     733.743E-03
             734         30.7708    -755.300E-03        -30.7615
             735         30.5138         30.5050    -733.735E-03
             736         34.2109        -1.98411        -34.1533
             737         34.2109         1.98411         34.1533
             738         34.1682        -34.1110         1.97618
             739         34.1682         34.1110        -1.97617
             740         26.1335        -1.52438        -26.0890
             741         26.1335         1.52437         26.0890
             742         31.7100        -2.51060        -31.6105
             743         31.7100         2.51059         31.6105
             744         26.0857         26.0415        -1.51803
             745         26.0857        -26.0415         1.51805
             746         31.6903        -31.5910         2.50704
             747         31.6903         31.5910        -2.50703
             748         22.2586    -367.168E-03        -22.2556
             749         22.2586     367.166E-03         22.2556
             750         22.1810        -22.1781     360.907E-03
             751         22.1809         22.1780    -360.884E-03
             752         10.4728     750.873E-03         10.4458
             753         10.4729    -750.861E-03        -10.4459
             754         10.3850         10.3587     738.715E-03
             755         10.3846        -10.3583    -738.904E-03
             756         10.4693        -10.4423     750.835E-03
             757         10.3868     741.843E-03        -10.3603
             758         10.3867    -741.816E-03         10.3602
             759         10.4698         10.4429    -751.098E-03
             760         25.0399     282.341E-03        -25.0383
             761         25.0399    -282.340E-03         25.0383
             762         8.48306         1.42775         8.36205
             763         8.48315        -1.42773        -8.36215
             764         8.47959        -8.35934         1.42295
             765         8.48014         8.35985        -1.42329
             766         6.85736         5.86870        -3.54708
             767         6.85594        -3.59193        -5.83968
             768         6.85581         3.59196         5.83952
             769         6.85684        -5.86834         3.54666
             770         38.4998         1.73787        -38.4606
             771         38.4999        -1.73785         38.4606
             772         8.07482         2.49273        -7.68043
             773         8.07455        -2.49261         7.68019
             774         8.08269         7.70087         2.45489
             775         8.08264        -7.70076        -2.45504
             776         14.3752    -320.453E-03         14.3716
             777         14.8375         14.8351    -262.861E-03
             778         14.3752     320.463E-03        -14.3717
             779         14.8407    -262.327E-03        -14.8384
             780         14.8406     262.339E-03         14.8383
             781         14.3725         14.3689     320.355E-03
             782         14.3724        -14.3688    -320.411E-03
             783         14.8375        -14.8352     262.789E-03
             784         32.1386         32.1378    -225.629E-03
             785         32.1387        -32.1379     225.633E-03
             786         44.6091     259.113E-03         44.6084
             787         44.6091    -259.114E-03        -44.6084
             788         18.7025    -180.324E-03        -18.7016
             789         18.7025     180.321E-03         18.7016
             790         18.6821        -18.6813     177.016E-03
             791         18.6820         18.6812    -176.988E-03
             792         32.5107    -294.328E-03        -32.5094
             793         32.5107     294.328E-03         32.5094
             794         25.6383     472.793E-03         25.6339
             795         25.6383    -472.795E-03        -25.6339
             796         25.4153         25.4110    -469.026E-03
             797         25.4154        -25.4111     469.039E-03
             798         12.6731     244.632E-03         12.6707
             799         12.6732    -244.624E-03        -12.6708
             800         8.36237         8.24360         1.40437
             801         8.36217        -8.24337        -1.40455
             802         12.6698        -12.6674     245.018E-03
             803         8.36161         1.41564        -8.24091
             804         8.36145        -1.41558         8.24075
             805         12.6701         12.6677    -245.162E-03
             806         6.34469         4.44664        -4.52575
             807         6.34423        -4.44642         4.52533
             808         6.34846        -4.56831        -4.40834
             809         6.34839         4.56832         4.40823
             810         7.74701         3.62100        -6.84869
             811         7.74664        -3.62073         6.84841
             812         7.76804         6.93637         3.49702
             813         7.76809        -6.93632        -3.49725
             814         12.5713    -258.565E-03         12.5686
             815         12.5714     258.580E-03        -12.5687
             816         16.7366         16.7363    -90.6133E-03
             817         16.7419    -90.0315E-03        -16.7417
             818         16.7418     90.0501E-03         16.7416
             819         12.5686         12.5659     257.625E-03
             820         12.5683        -12.5656    -257.755E-03
             821         16.7369        -16.7367     90.5765E-03
             822         5.70210         3.41243         4.56829
             823         5.70238        -3.41210        -4.56889
             824         5.70120        -4.58097         3.39387
             825         5.70168         4.58123        -3.39432
             826         16.8028        -16.8026    -74.1986E-03
             827         16.8027         16.8026     74.2065E-03
             828         16.8120    -73.4912E-03         16.8118
             829         16.8120     73.4943E-03        -16.8118
             830         31.1081         31.0536        -1.84209
             831         31.1081        -31.0536         1.84210
             832         31.1676        -1.85105        -31.1126
             833         31.1676         1.85104         31.1126
             834         8.62772        -8.61236     514.652E-03
             835         8.62988     515.437E-03         8.61447
             836         8.63001    -515.395E-03        -8.61461
             837         8.62821         8.61283    -514.937E-03
             838         32.0494        -3.23683        -31.8855
             839         32.0494         3.23682         31.8855
             840         32.0440        -31.8803         3.23581
             841         32.0440         31.8803        -3.23580
             842         5.69603         3.27101        -4.66319
             843         5.69941         4.67998         3.25286
             844         5.69945        -4.67958        -3.25351
             845         5.69558        -3.27084         4.66276
             846         19.4507        -19.4504     100.199E-03
             847         19.4505         19.4502    -100.171E-03
             848         19.4844     102.271E-03         19.4842
             849         19.4845    -102.271E-03        -19.4842
             850         8.52382         8.51351     419.109E-03
             851         8.52498     422.142E-03        -8.51452
             852         8.52480    -422.094E-03         8.51434
             853         8.52346        -8.51314    -419.340E-03
             854         17.8247         17.8245     79.1839E-03
             855         17.8379     80.0197E-03        -17.8378
             856         17.8377    -79.9757E-03         17.8375
             857         17.8248        -17.8247    -79.1885E-03
             858         5.20048         2.29730         4.66556
             859         5.20132        -2.29674        -4.66676
             860         5.20032        -4.66881         2.29031
             861         5.20080         4.66912        -2.29077
             862         7.18410        -7.09714         1.11440
             863         7.18570         1.11760         7.09826
             864         7.18586        -1.11754        -7.09842
             865         7.18456         7.09755        -1.11471
             866         16.8031        -16.8030     52.3918E-03
             867         16.8090     51.9639E-03         16.8090
             868         16.8091    -51.9563E-03        -16.8090
             869         16.8028         16.8027    -52.4091E-03
             870         27.5244        -27.5150     719.519E-03
             871         27.5244         27.5150    -719.508E-03
             872         27.7695    -724.493E-03        -27.7600
             873         27.7694     724.490E-03         27.7600
             874         6.85298        -5.92025        -3.45167
             875         6.85295         5.92036         3.45141
             876         6.84059         3.50893        -5.87206
             877         6.84018        -3.50875         5.87169
             878         19.1329         19.1325     121.666E-03
             879         19.1549     122.396E-03        -19.1545
             880         19.1548    -122.386E-03         19.1544
             881         19.1332        -19.1328    -121.669E-03
             882         18.1290         18.1290    -4.32571E-03
             883         18.1292        -18.1292     4.33946E-03
             884         18.1496    -4.33003E-03        -18.1496
             885         18.1496     4.33334E-03         18.1496
             886         24.6140     137.040E-03         24.6136
             887         24.6140    -137.040E-03        -24.6136
             888         24.4089         24.4085    -138.480E-03
             889         24.4091        -24.4087     138.490E-03
             890         5.70777         1.26525         5.56577
             891         5.70879        -1.26479        -5.56692
             892         5.70753        -5.56633         1.26171
             893         5.70797         5.56670        -1.26207
             894         6.74027        -1.03387         6.66051
             895         6.74050         1.03395        -6.66073
             896         6.74046        -6.66153        -1.02854
             897         6.74067         6.66176         1.02837
             898         5.09022        -1.75063         4.77970
             899         5.09223         4.78418         1.74424
             900         5.09192        -4.78348        -1.74524
             901         5.09136         1.75089        -4.78083
             902         4.16420         3.89825        -1.46429
             903         4.16102         1.46665         3.89397
             904         4.16587        -1.46409        -3.90012
             905         4.16267        -3.89732         1.46242
             906         2.80756         2.23773        -1.69558
             907         2.80693        -1.68906        -2.24186
             908         2.79948         1.69430         2.22856
             909         2.79845        -2.23388         1.68555
             910         5.46397         5.43252     585.373E-03
             911         5.46414     588.371E-03        -5.43237
             912         5.46253    -587.910E-03         5.43080
             913         5.46358        -5.43207    -585.908E-03
             914         3.43371         1.40611        -3.13261
             915         3.42988         3.13158         1.39903
             916         3.42953        -3.12774        -1.40674
             917         3.42526        -1.40348         3.12452
             918         4.80530     301.740E-03         4.79582
             919         4.80806         4.79858    -301.729E-03
             920         4.80682        -4.79745     299.941E-03
             921         4.80953    -300.340E-03        -4.80014
             922         2.05273    -836.329E-03         1.87464
             923         2.06361        -1.88104    -848.636E-03
             924         2.06261         1.88799     830.573E-03
             925         2.07216     842.414E-03        -1.89320
             926         4.28929    -661.257E-03         4.23801
             927         4.29344         4.24268     658.210E-03
             928         4.29196        -4.24063    -661.817E-03
             929         4.29494     662.864E-03        -4.24348
             930         1.20661        -1.13712     403.574E-03
             931         1.20374     417.722E-03         1.12893
             932         1.22361    -411.718E-03        -1.15226
             933         1.21972         1.14372    -423.832E-03
             934         22.2109        -22.2079    -362.169E-03
             935         22.2106         22.2076     362.150E-03
             936         22.2653    -360.469E-03         22.2623
             937         22.2654     360.476E-03        -22.2624
