      Node Label     U.Magnitude            U.U1            U.U2
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
             162         6.71885        -6.34005        -2.22411
             163         4.36267        -3.06903        -3.10064
             164         3.05412    -150.918E-03        -3.05039
             165         4.36206         3.10160        -3.06719
             166         6.64889         6.26734        -2.21997
             167         10.0853         9.96777        -1.53541
             168         14.9296         14.9223    -466.479E-03
             169         20.6980         20.6909     543.037E-03
             170         28.6757         28.6430         1.36754
             171         35.4783         35.4490         1.44259
             172         43.1702         43.1607     908.737E-03
             173         43.1916        -43.1398         2.11420
             174         35.8218        -35.7066         2.87066
             175         28.4522        -28.3094         2.84696
             176         20.8863        -20.8288         1.54758
             177         13.9602        -13.9423    -708.493E-03
             178         9.32642        -8.76891        -3.17620
             179         7.19114        -5.23846        -4.92657
             180         6.65016        -2.22844        -6.26567
             181         6.67831    -161.602E-03        -6.67635
             182         6.71699         2.23785        -6.33324
             183         7.18210         5.04607        -5.11074
             184         9.01307         8.36154        -3.36452
             185         13.9010         13.8822    -723.537E-03
             186         20.8449         20.7866         1.55784
             187         28.5162         28.3701         2.88274
             188         35.9174         35.7974         2.93371
             189         43.1837         43.1314         2.12529
             190         8.18177        -5.70784        -5.86191
             191         9.06036        -3.34203        -8.42146
             192         10.0913        -1.53535        -9.97381
             193         10.5693    -15.5490E-03        -10.5693
             194         9.99670         1.56396        -9.87360
             195         9.37250         3.16873        -8.82059
             196         8.18049         5.62819        -5.93665
             197         13.9309    -713.015E-03        -13.9127
             198         14.9355    -465.218E-03        -14.9282
             199         15.1851     22.0674E-03        -15.1851
             200         14.9555     439.278E-03        -14.9490
             201         13.9903     697.986E-03        -13.9729
             202         20.9058         1.56123        -20.8474
             203         20.7241     539.483E-03        -20.7171
             204         21.5521     14.1829E-03        -21.5521
             205         21.1169    -644.702E-03        -21.1071
             206         20.8889        -1.54768        -20.8315
             207         28.7809         2.86063        -28.6384
             208         28.5581         1.28733        -28.5291
             209         28.6892    -85.6436E-03        -28.6890
             210         28.8133        -1.31714        -28.7831
             211         28.4534        -2.84678        -28.3106
             212         35.8004         3.04862        -35.6704
             213         35.8487         1.36855        -35.8226
             214         36.2383    -27.7002E-03        -36.2383
             215         36.1164        -1.32240        -36.0921
             216         35.8274        -2.87194        -35.7121
             217         43.0616         2.13753        -43.0085
             218         43.2316     882.139E-03        -43.2226
             219         42.8163    -94.2742E-03        -42.8162
             220         43.3309    -866.325E-03        -43.3222
             221         43.1912        -2.11428        -43.1394
             222             50.    -64.9476E-39             50.
             223             50.    -311.432E-39             50.
             224             50.    -261.873E-39             50.
             225             50.    -208.692E-39             50.
             226             50.     254.642E-39             50.
             227             50.    -57.8409E-39             50.
             228             50.     62.5173E-39             50.
             229         46.3678         2.52324         46.2990
             230         39.3494         4.39029         39.1037
             231         32.2556         4.74808         31.9042
             232         24.6992         4.03452         24.3674
             233         15.7686        -15.6851        -1.61990
             234         7.63977        -3.34427         6.86891
             235         15.7671         1.62004         15.6837
             236         24.7006        -24.3687        -4.03584
             237         32.2565        -31.9049        -4.74948
             238         39.3495        -39.1038        -4.39039
             239         46.3678        -46.2992        -2.52245
             240             50.            -50.    -63.4987E-39
             241             50.            -50.    -310.088E-39
             242             50.            -50.    -262.876E-39
             243             50.            -50.     209.304E-39
             244             50.            -50.    -146.015E-39
             245             50.            -50.    -57.6498E-39
             246             50.            -50.     62.5050E-39
             247         24.6996        -24.3678         4.03501
             248         32.2558        -31.9044         4.74840
             249         39.3495        -39.1039         4.39026
             250         46.3678        -46.2991         2.52329
             251         15.7689        -15.6856         1.61901
             252         7.64363        -3.34792        -6.87143
             253         15.7691         1.62087        -15.6856
             254         46.3672         2.52205        -46.2985
             255         39.3493         4.39097        -39.1035
             256         32.2558         4.75052        -31.9041
             257         24.6986         4.03319        -24.3670
             258             50.     64.9480E-39            -50.
             259             50.     311.432E-39            -50.
             260             50.     14.4592E-39            -50.
             261             50.    -209.192E-39            -50.
             262             50.     146.153E-39            -50.
             263             50.     57.8408E-39            -50.
             264             50.    -62.5173E-39            -50.
             265         46.3678        -2.52324        -46.2990
