*Element, type=CPS3
   1,  712,  522,  571
   2,  752,  100,  572
   3,  933,  837,  825
   4,  808,   90,  738
   5,  813,   89,  731
   6,  809,   88,  725
   7, 1776,  829,  938
   8,  893,  753,  792
   9,  753,  529,   93
  10,  699,  529,  417
  11,  542,  418,   11
  12,  905,   11,  419
  13,  530,  419,  420
  14, 1059,  683,  855
  15, 1037, 1011, 1006
  16, 1405, 1300, 1334
  17, 1511, 1432,  143
  18, 1436,  145, 1419
  19, 1769, 1548,  163
  20, 1581,  188, 1567
  21, 1588, 1566,  213
  22, 1430,  238, 1424
  23, 1261, 1209,  263
  24, 1312, 1013, 1145
  25,  857,  775,  313
  26, 1801,  492,  554
  27,  554,  492,  493
  28,  531,   59,  494
  29,  909,  531,  338
  30,  708,  555,  339
  31,  870,  840,  315
  32,  936,  315,  840
  33,  807,  737,  268
  34,  816,  734,  244
  35,  810,  723,  220
  36,  937,  834,  195
  37,  791,  756,  171
  38,  560,  515,  514
  39,  532,   72,  513
  40,  710,  532,  513
  41,  559,  512,   71
  42,  941,  791,  873
  43, 1108,  219, 1032
  44, 1095, 1023,  960
  45, 1245, 1020, 1000
  46, 1155,  964, 1092
  47, 1029,  981,  315
  48,  919,  796,  315
  49,  973,  965,  338
  50,  758,  339,  555
  51,  585,  414,  541
  52,  541,  414,  415
  53,  609,  413,    7
  54,  609,  586,  413
  55,  607,  411,  412
  56,  608,  607,  412
  57,  606,  410,    5
  58,  606,  588,  410
  59,  533,   12,  421
  60,  854,  774,  107
  61, 1786, 1037, 1066
  62, 1422, 1334, 1336
  63, 1535, 1528,  144
  64, 1575, 1560,  162
  65, 1617, 1594,  187
  66, 1672,  211, 1651
  67, 1790, 1534, 1542
  68, 1326, 1288,  286
  69, 1082,  953, 1013
  70,  841,  768,  312
  71,  553,  491,   58
  72,  775,  694,  337
  73,  640,  399,  627
  74,  627,  615,   43
  75,  598,   42,  468
  76,  780,  460,  567
  77,  639,  467,   42
  78,  662,  657,  455
  79,  743,  322,  663
  80, 1007,  297,  851
  81, 1143, 1131,  272
  82, 1345, 1296,  247
  83, 1019,  963,  222
  84, 1003,  989,  198
  85,  646,  589,  437
  86,  625,  610,   23
  87,  625,   23,  439
  88,  637,  197,  625
  89,  897,  889,  814
  90, 1096, 1024,  959
  91, 1291, 1196, 1243
  92,  913,  771,  297
  93,  687,  583,  650
  94,  663,  650,  454
  95,  743,  657,  323
  96, 1067,  298, 1055
  97, 1279, 1219,  273
  98, 1471,  249, 1441
  99, 1416, 1270, 1316
 100, 1105, 1033,  198
 101,  869,  838,  174
 102,  636,  436,   22
 103,  589,   22,  437
 104, 1097,  200, 1025
 105,  974,  966,  151
 106,  754,  545,  149
 107,  779,  434,  546
 108,  947,  776,  860
 109,  534,   19,  432
 110,  701,  534,  432
 111,  544,  430,  431
 112, 1800,  430,  544
 113,  693,  153,  562
 114, 1088, 1016,  178
 115, 1152, 1128,  203
 116, 1482, 1462, 1431
 117, 1551,  253, 1539
 118, 1615, 1595,  278
 119, 1583, 1559,  303
 120, 1505,  327, 1466
 121, 1512, 1481, 1433
